Id,LotArea,Utilities,HouseStyle,OverallQual,OverallCond,YearRemodAdd,HeatingQC,KitchenQual,Functional,GarageType,SaleType,SalePrice
1,8450,AllPub,2Story,7,5,2003,Ex,Gd,Typ,Attchd,WD,208500
2,9600,AllPub,1Story,6,8,1976,Ex,TA,Typ,Attchd,WD,181500
3,11250,AllPub,2Story,7,5,2002,Ex,Gd,Typ,Attchd,WD,223500
4,9550,AllPub,2Story,7,5,1970,Gd,Gd,Typ,Detchd,WD,140000
5,14260,AllPub,2Story,8,5,2000,Ex,Gd,Typ,Attchd,WD,250000
6,14115,AllPub,1.5Fin,5,5,1995,Ex,TA,Typ,Attchd,WD,143000
7,10084,AllPub,1Story,8,5,2005,Ex,Gd,Typ,Attchd,WD,307000
8,10382,AllPub,2Story,7,6,1973,Ex,TA,Typ,Attchd,WD,200000
9,6120,AllPub,1.5Fin,7,5,1950,Gd,TA,Min1,Detchd,WD,129900
10,7420,AllPub,1.5Unf,5,6,1950,Ex,TA,Typ,Attchd,WD,118000
11,11200,AllPub,1Story,5,5,1965,Ex,TA,Typ,Detchd,WD,129500
12,11924,AllPub,2Story,9,5,2006,Ex,Ex,Typ,BuiltIn,New,345000
13,12968,AllPub,1Story,5,6,1962,TA,TA,Typ,Detchd,WD,144000
14,10652,AllPub,1Story,7,5,2007,Ex,Gd,Typ,Attchd,New,279500
15,10920,AllPub,1Story,6,5,1960,TA,TA,Typ,Attchd,WD,157000
16,6120,AllPub,1.5Unf,7,8,2001,Ex,TA,Typ,Detchd,WD,132000
17,11241,AllPub,1Story,6,7,1970,Ex,TA,Typ,Attchd,WD,149000
18,10791,AllPub,1Story,4,5,1967,TA,TA,Typ,CarPort,WD,90000
19,13695,AllPub,1Story,5,5,2004,Ex,Gd,Typ,Detchd,WD,159000
20,7560,AllPub,1Story,5,6,1965,TA,TA,Min1,Attchd,COD,139000
21,14215,AllPub,2Story,8,5,2006,Ex,Gd,Typ,BuiltIn,New,325300
22,7449,AllPub,1.5Unf,7,7,1950,Ex,Gd,Typ,Attchd,WD,139400
23,9742,AllPub,1Story,8,5,2002,Ex,Gd,Typ,Attchd,WD,230000
24,4224,AllPub,1Story,5,7,1976,TA,TA,Typ,Attchd,WD,129900
25,8246,AllPub,1Story,5,8,2001,Ex,Gd,Typ,Attchd,WD,154000
26,14230,AllPub,1Story,8,5,2007,Ex,Gd,Typ,Attchd,WD,256300
27,7200,AllPub,1Story,5,7,2000,TA,Gd,Typ,Detchd,WD,134800
28,11478,AllPub,1Story,8,5,2008,Ex,Gd,Typ,Attchd,WD,306000
29,16321,AllPub,1Story,5,6,1997,TA,TA,Typ,Attchd,WD,207500
30,6324,AllPub,1Story,4,6,1950,Fa,Fa,Typ,Detchd,WD,68500
31,8500,AllPub,2Story,4,4,1950,TA,TA,Typ,Detchd,WD,40000
32,8544,AllPub,1Story,5,6,2006,Gd,Gd,Typ,Attchd,WD,149350
33,11049,AllPub,1Story,8,5,2007,Ex,Gd,Typ,Attchd,WD,179900
34,10552,AllPub,1Story,5,5,1959,Gd,Gd,Typ,Attchd,WD,165500
35,7313,AllPub,1Story,9,5,2005,Ex,Ex,Typ,Attchd,WD,277500
36,13418,AllPub,2Story,8,5,2005,Ex,Gd,Typ,BuiltIn,WD,309000
37,10859,AllPub,1Story,5,5,1995,Ex,TA,Typ,Attchd,WD,145000
38,8532,AllPub,1Story,5,6,1990,Gd,TA,Typ,Attchd,WD,153000
39,7922,AllPub,1Story,5,7,2007,TA,Gd,Typ,Detchd,WD,109000
40,6040,AllPub,1Story,4,5,1955,TA,Fa,Typ,NA,WD,82000
41,8658,AllPub,1Story,6,5,1965,Ex,TA,Typ,Attchd,WD,160000
42,16905,AllPub,1Story,5,6,1959,Gd,TA,Typ,Attchd,WD,170000
43,9180,AllPub,SFoyer,5,7,1983,Gd,Gd,Typ,Attchd,WD,144000
44,9200,AllPub,1Story,5,6,1980,TA,TA,Typ,Detchd,WD,130250
45,7945,AllPub,1Story,5,6,1959,Ex,TA,Typ,Attchd,WD,141000
46,7658,AllPub,1Story,9,5,2005,Ex,Ex,Typ,Attchd,WD,319900
47,12822,AllPub,1.5Fin,7,5,2003,Ex,Gd,Typ,Attchd,WD,239686
48,11096,AllPub,1Story,8,5,2006,Ex,Gd,Typ,Attchd,WD,249700
49,4456,AllPub,2Story,4,5,2008,Gd,TA,Typ,NA,New,113000
50,7742,AllPub,1Story,5,7,1966,Ex,TA,Typ,Attchd,WD,127000
51,13869,AllPub,2Story,6,6,1997,Gd,TA,Typ,Attchd,WD,177000
52,6240,AllPub,1.5Fin,6,6,1950,TA,TA,Typ,Detchd,WD,114500
53,8472,AllPub,1Story,5,5,1963,TA,TA,Typ,CarPort,WD,110000
54,50271,AllPub,1Story,9,5,1987,Gd,Gd,Typ,Attchd,WD,385000
55,7134,AllPub,SLvl,5,5,1955,TA,TA,Min1,Detchd,WD,130000
56,10175,AllPub,1Story,6,5,1964,Gd,TA,Typ,Attchd,WD,180500
57,2645,AllPub,2Story,8,5,2000,Ex,Gd,Typ,Attchd,WD,172500
58,11645,AllPub,2Story,7,5,2004,Ex,Gd,Typ,Attchd,WD,196500
59,13682,AllPub,2Story,10,5,2006,Ex,Gd,Typ,BuiltIn,New,438780
60,7200,AllPub,1Story,5,7,1972,Ex,TA,Typ,Detchd,WD,124900
61,13072,AllPub,1Story,6,5,2004,Ex,Gd,Typ,Detchd,New,158000
62,7200,AllPub,2.5Unf,5,7,1996,TA,Fa,Typ,Detchd,WD,101000
63,6442,AllPub,1Story,8,5,2006,Ex,Gd,Typ,Attchd,WD,202500
64,10300,AllPub,2Story,7,6,1950,Gd,TA,Typ,Detchd,WD,140000
65,9375,AllPub,2Story,7,5,1998,Ex,Gd,Typ,Attchd,WD,219500
66,9591,AllPub,2Story,8,5,2005,Ex,Gd,Typ,BuiltIn,WD,317000
67,19900,AllPub,1Story,7,5,1989,TA,TA,Min1,Attchd,WD,180000
68,10665,AllPub,1Story,7,5,2003,Ex,Gd,Typ,Attchd,WD,226000
69,4608,AllPub,1Story,4,6,1950,TA,TA,Typ,Attchd,WD,80000
70,15593,AllPub,1.5Fin,7,4,1953,TA,TA,Typ,Attchd,WD,225000
71,13651,AllPub,1Story,7,6,1973,Ex,TA,Typ,Attchd,WD,244000
72,7599,AllPub,1Story,4,6,2006,TA,TA,Typ,Detchd,WD,129500
73,10141,AllPub,2Story,7,5,1998,Gd,TA,Typ,Attchd,WD,185000
74,10200,AllPub,1Story,5,7,2003,Gd,TA,Typ,Attchd,WD,144900
75,5790,AllPub,2Story,3,6,1950,Gd,TA,Typ,Detchd,WD,107400
76,1596,AllPub,SLvl,4,5,1973,TA,TA,Typ,BuiltIn,WD,91000
77,8475,AllPub,1Story,4,7,1956,Ex,TA,Typ,Detchd,WD,135750
78,8635,AllPub,1.5Fin,5,5,2001,TA,TA,Min1,Detchd,WD,127000
79,10778,AllPub,1Story,4,5,1968,TA,TA,Typ,NA,WD,136500
80,10440,AllPub,2Story,5,6,1981,Gd,TA,Typ,Detchd,WD,110000
81,13000,AllPub,2Story,6,6,1968,TA,Gd,Typ,Attchd,WD,193500
82,4500,AllPub,1Story,6,5,1998,Ex,TA,Typ,Attchd,WD,153500
83,10206,AllPub,1Story,8,5,2007,Ex,Gd,Typ,Attchd,WD,245000
84,8892,AllPub,1Story,5,5,1960,Gd,TA,Typ,Detchd,COD,126500
85,8530,AllPub,SLvl,7,5,1996,Gd,TA,Typ,BuiltIn,WD,168500
86,16059,AllPub,2Story,8,5,1992,Ex,Gd,Typ,Attchd,WD,260000
87,11911,AllPub,2Story,6,5,2005,Ex,Gd,Typ,BuiltIn,WD,174000
88,3951,AllPub,2Story,6,5,2009,Ex,Gd,Typ,Detchd,New,164500
89,8470,AllPub,1.5Fin,3,2,1982,TA,Fa,Typ,NA,ConLD,85000
90,8070,AllPub,1Story,4,5,1995,Ex,TA,Typ,NA,WD,123600
91,7200,AllPub,1Story,4,5,1950,TA,TA,Typ,Detchd,WD,109900
92,8500,AllPub,1Story,5,3,1961,TA,TA,Typ,Attchd,WD,98600
93,13360,AllPub,1Story,5,7,2006,Ex,TA,Typ,Detchd,WD,163500
94,7200,AllPub,2.5Unf,6,6,1998,Ex,TA,Typ,Detchd,WD,133900
95,9337,AllPub,2Story,6,5,1997,Ex,Gd,Typ,Attchd,WD,204750
96,9765,AllPub,2Story,6,8,1993,Gd,TA,Typ,BuiltIn,WD,185000
97,10264,AllPub,1Story,7,5,1999,Ex,Gd,Typ,Attchd,WD,214000
98,10921,AllPub,1Story,4,5,1965,TA,TA,Typ,Attchd,WD,94750
99,10625,AllPub,1Story,5,5,1950,Fa,TA,Typ,Basment,COD,83000
100,9320,AllPub,1Story,4,5,1959,Fa,TA,Typ,NA,WD,128950
101,10603,AllPub,1Story,6,7,2001,Gd,Gd,Typ,Attchd,WD,205000
102,9206,AllPub,2Story,6,5,1985,TA,Gd,Typ,Attchd,WD,178000
103,7018,AllPub,1Story,5,5,1979,TA,TA,Typ,Attchd,WD,118964
104,10402,AllPub,1Story,7,5,2009,Ex,Gd,Typ,Attchd,WD,198900
105,7758,AllPub,1.5Fin,7,4,1950,Ex,TA,Typ,Detchd,WD,169500
106,9375,AllPub,2Story,8,5,2004,Ex,Gd,Typ,Attchd,WD,250000
107,10800,AllPub,1Story,4,7,1995,Gd,TA,Typ,Detchd,WD,100000
108,6000,AllPub,1Story,5,5,1950,Ex,TA,Typ,Detchd,WD,115000
109,8500,AllPub,1.5Fin,5,7,2005,TA,Fa,Typ,NA,WD,115000
110,11751,AllPub,1Story,6,6,1977,Ex,TA,Typ,Attchd,COD,190000
111,9525,AllPub,1.5Fin,6,4,1972,Gd,TA,Typ,Attchd,WD,136900
112,7750,AllPub,SLvl,7,5,2000,Ex,TA,Typ,BuiltIn,WD,180000
113,9965,AllPub,2Story,7,5,2007,Ex,Ex,Typ,BuiltIn,New,383970
114,21000,AllPub,1Story,6,5,1953,TA,Gd,Typ,Basment,COD,217000
115,7259,AllPub,2Story,6,8,2002,Ex,Gd,Typ,Detchd,WD,259500
116,3230,AllPub,2Story,6,5,1999,Gd,TA,Typ,Detchd,WD,176000
117,11616,AllPub,1Story,5,5,1962,TA,TA,Typ,Attchd,WD,139000
118,8536,AllPub,1Story,5,5,2007,Gd,TA,Typ,Attchd,New,155000
119,12376,AllPub,2Story,7,5,1990,Gd,Gd,Typ,Attchd,WD,320000
120,8461,AllPub,2Story,6,5,2006,Ex,Gd,Typ,Attchd,New,163990
121,21453,AllPub,SLvl,6,5,1969,Ex,TA,Typ,Attchd,WD,180000
122,6060,AllPub,1.5Fin,4,5,1950,Gd,TA,Typ,Detchd,WD,100000
123,9464,AllPub,1Story,6,7,1958,Gd,TA,Typ,Attchd,WD,136000
124,7892,AllPub,1Story,6,5,1993,Ex,Gd,Typ,Attchd,WD,153900
125,17043,AllPub,1Story,6,5,1998,TA,TA,Typ,Attchd,WD,181000
126,6780,AllPub,1.5Fin,6,8,1982,Gd,TA,Typ,NA,WD,84500
127,4928,AllPub,1Story,6,5,1976,TA,TA,Typ,Attchd,WD,128000
128,4388,AllPub,1.5Unf,5,7,1950,Ex,TA,Typ,NA,WD,87000
129,7590,AllPub,2Story,6,5,1966,TA,TA,Typ,Attchd,WD,155000
130,8973,AllPub,1Story,5,7,1991,TA,Ex,Typ,2Types,WD,150000
131,14200,AllPub,2Story,7,6,1966,Ex,Gd,Typ,Attchd,WD,226000
132,12224,AllPub,2Story,6,5,2000,Ex,Gd,Typ,BuiltIn,WD,244000
133,7388,AllPub,1Story,5,6,2002,Gd,Gd,Typ,Detchd,WD,150750
134,6853,AllPub,1Story,8,5,2002,Ex,Gd,Typ,Attchd,WD,220000
135,10335,AllPub,1Story,5,6,1993,Gd,TA,Min1,Attchd,WD,180000
136,10400,AllPub,1Story,7,6,1970,Gd,TA,Typ,Attchd,WD,174000
137,10355,AllPub,1Story,5,5,1967,TA,TA,Typ,Attchd,WD,143000
138,11070,AllPub,1Story,7,5,1989,Gd,TA,Typ,2Types,WD,171000
139,9066,AllPub,2Story,8,5,2000,Ex,Gd,Typ,Attchd,WD,230000
140,15426,AllPub,2Story,6,5,1997,Ex,Gd,Typ,Attchd,WD,231500
141,10500,AllPub,1Story,4,5,1971,TA,TA,Typ,NA,ConLI,115000
142,11645,AllPub,1Story,7,5,2005,Ex,Gd,Typ,Attchd,WD,260000
143,8520,AllPub,1.5Fin,5,4,1952,Fa,TA,Typ,Detchd,WD,166000
144,10335,AllPub,1Story,7,5,1999,Ex,Gd,Typ,Attchd,WD,204000
145,9100,AllPub,1Story,5,5,1963,TA,TA,Typ,Detchd,ConLI,125000
146,2522,AllPub,2Story,6,5,2006,Ex,Gd,Maj1,Detchd,WD,130000
147,6120,AllPub,1Story,5,7,1993,TA,TA,Typ,Detchd,WD,105000
148,9505,AllPub,2Story,7,5,2001,Ex,Gd,Typ,BuiltIn,WD,222500
149,7500,AllPub,1Story,7,5,2005,Ex,Gd,Typ,NA,WD,141000
150,6240,AllPub,1.5Fin,5,4,1950,Gd,TA,Typ,Detchd,WD,115000
151,10356,AllPub,1Story,5,6,1975,TA,TA,Typ,Attchd,WD,122000
152,13891,AllPub,1Story,8,5,2008,Ex,Gd,Typ,Attchd,New,372402
153,14803,AllPub,2Story,6,5,1971,Gd,TA,Typ,Attchd,WD,190000
154,13500,AllPub,1Story,6,7,1975,Gd,TA,Typ,Attchd,WD,235000
155,11340,AllPub,1Story,6,5,1950,TA,TA,Typ,Detchd,WD,125000
156,9600,AllPub,1.5Fin,6,5,1950,Fa,TA,Typ,NA,WD,79000
157,7200,AllPub,1Story,5,7,1950,TA,TA,Typ,Detchd,WD,109500
158,12003,AllPub,2Story,8,5,2010,Ex,Ex,Typ,BuiltIn,New,269500
159,12552,AllPub,2Story,7,5,2005,Ex,Gd,Typ,Attchd,WD,254900
160,19378,AllPub,2Story,7,5,2006,Ex,Gd,Typ,Attchd,New,320000
161,11120,AllPub,1Story,6,6,1984,TA,TA,Typ,Attchd,WD,162500
162,13688,AllPub,2Story,9,5,2004,Ex,Ex,Typ,BuiltIn,WD,412500
163,12182,AllPub,1Story,7,5,2005,Ex,Gd,Typ,Attchd,New,220000
164,5500,AllPub,1.5Unf,4,6,1956,Ex,TA,Typ,NA,WD,103200
165,5400,AllPub,1Story,6,7,2004,Gd,Gd,Typ,Detchd,WD,152000
166,10106,AllPub,1.5Fin,5,7,1999,Gd,TA,Typ,NA,WD,127500
167,10708,AllPub,1Story,5,5,1993,Ex,TA,Typ,Attchd,COD,190000
168,10562,AllPub,2Story,8,5,2007,Ex,Ex,Typ,Attchd,New,325624
169,8244,AllPub,2Story,7,5,2004,Ex,Gd,Typ,Attchd,WD,183500
170,16669,AllPub,1Story,8,6,1981,TA,TA,Typ,Attchd,WD,228000
171,12358,AllPub,1.5Fin,5,6,1950,TA,TA,Typ,Detchd,WD,128500
172,31770,AllPub,1Story,6,5,1960,Fa,TA,Typ,Attchd,WD,215000
173,5306,AllPub,2Story,7,7,1987,Gd,Gd,Typ,Attchd,WD,239000
174,10197,AllPub,1Story,6,5,1961,TA,TA,Typ,Attchd,COD,163000
175,12416,AllPub,1Story,6,5,1986,TA,TA,Min2,Attchd,WD,184000
176,12615,AllPub,1Story,6,7,2001,TA,Gd,Typ,Attchd,WD,243000
177,10029,AllPub,2Story,6,5,1989,TA,TA,Typ,Attchd,WD,211000
178,13650,AllPub,1.5Fin,5,5,1958,Ex,Gd,Typ,Attchd,WD,172500
179,17423,AllPub,1Story,9,5,2009,Ex,Ex,Typ,Attchd,New,501837
180,8520,AllPub,1Story,5,6,2006,TA,TA,Typ,Detchd,WD,100000
181,2117,AllPub,2Story,6,5,2000,Ex,Gd,Typ,Detchd,WD,177000
182,7588,AllPub,2Story,7,6,1950,Gd,TA,Typ,Detchd,WD,200100
183,9060,AllPub,1Story,5,6,2006,Ex,TA,Typ,Attchd,WD,120000
184,11426,AllPub,1.5Fin,7,5,2003,Ex,Gd,Mod,Detchd,WD,200000
185,7438,AllPub,1.5Fin,5,8,1991,Gd,TA,Typ,Attchd,WD,127000
186,22950,AllPub,2.5Fin,10,9,1993,Ex,Ex,Typ,Detchd,WD,475000
187,9947,AllPub,SLvl,7,5,1991,Ex,Gd,Typ,Attchd,WD,173000
188,10410,AllPub,1.5Fin,5,7,1987,Ex,TA,Min2,Detchd,WD,135000
189,7018,AllPub,SFoyer,5,5,1979,TA,TA,Typ,Detchd,WD,153337
190,4923,AllPub,1Story,8,5,2002,Ex,Ex,Typ,Attchd,WD,286000
191,10570,AllPub,2Story,8,8,1994,TA,Gd,Maj1,Detchd,WD,315000
192,7472,AllPub,2Story,7,9,2004,Gd,Gd,Typ,Attchd,WD,184000
193,9017,AllPub,1Story,7,5,1999,Ex,Gd,Typ,Attchd,WD,192000
194,2522,AllPub,2Story,7,5,2004,Ex,Gd,Maj1,Detchd,WD,130000
195,7180,AllPub,1Story,5,7,1972,TA,TA,Typ,Detchd,WD,127000
196,2280,AllPub,2Story,6,6,1976,TA,TA,Typ,Attchd,WD,148500
197,9416,AllPub,1Story,7,5,2007,Ex,Ex,Typ,Attchd,New,311872
198,25419,AllPub,2Story,8,4,1990,Gd,Gd,Typ,Detchd,WD,235000
199,5520,AllPub,2.5Fin,6,6,1950,Ex,TA,Typ,NA,WD,104000
200,9591,AllPub,1Story,8,5,2005,Ex,Ex,Typ,Attchd,WD,274900
201,8546,AllPub,1Story,4,5,2004,Ex,TA,Typ,Attchd,WD,140000
202,10125,AllPub,1Story,6,6,1977,TA,TA,Typ,Detchd,WD,171500
203,7000,AllPub,1.5Fin,6,6,1950,Gd,TA,Min1,Attchd,COD,112000
204,4438,AllPub,1Story,6,5,2004,Ex,Gd,Typ,Attchd,WD,149000
205,3500,AllPub,1.5Fin,5,7,1950,TA,TA,Typ,Detchd,WD,110000
206,11851,AllPub,1Story,7,5,1990,Ex,TA,Typ,Attchd,WD,180500
207,13673,AllPub,1Story,5,5,1962,TA,TA,Min2,Attchd,WD,143900
208,12493,AllPub,1Story,4,5,1960,TA,TA,Typ,Attchd,WD,141000
209,14364,AllPub,2Story,7,5,1989,Ex,TA,Typ,Attchd,WD,277000
210,8250,AllPub,1Story,6,7,1964,Ex,TA,Typ,Attchd,WD,145000
211,5604,AllPub,1Story,5,6,1950,TA,TA,Typ,NA,WD,98000
212,10420,AllPub,1Story,6,5,2009,Ex,Gd,Typ,Attchd,WD,186000
213,8640,AllPub,2Story,7,5,2009,Ex,Gd,Typ,Attchd,New,252678
214,13568,AllPub,1Story,5,5,1995,Ex,TA,Typ,Attchd,WD,156000
215,10900,AllPub,2Story,6,7,1977,Ex,TA,Typ,Attchd,WD,161750
216,10011,AllPub,1Story,5,6,1996,TA,Gd,Min1,Attchd,WD,134450
217,8450,AllPub,1Story,7,5,2004,Ex,Gd,Typ,Attchd,WD,210000
218,9906,AllPub,2Story,4,4,1950,Fa,TA,Typ,Detchd,WD,107000
219,15660,AllPub,1.5Fin,7,9,2006,Ex,Gd,Typ,Attchd,WD,311500
220,3010,AllPub,1Story,7,5,2006,Ex,Gd,Typ,Attchd,New,167240
221,8990,AllPub,1Story,7,5,2006,Ex,Gd,Typ,Attchd,New,204900
222,8068,AllPub,2Story,6,5,2002,Ex,Gd,Typ,BuiltIn,ConLI,200000
223,11475,AllPub,2Story,6,6,1975,TA,TA,Typ,Attchd,WD,179900
224,10500,AllPub,1Story,4,6,1971,Gd,TA,Typ,Detchd,WD,97000
225,13472,AllPub,1Story,10,5,2003,Ex,Ex,Typ,Attchd,WD,386250
226,1680,AllPub,2Story,5,5,1971,TA,TA,Typ,Detchd,COD,112000
227,9950,AllPub,2Story,7,5,1995,Ex,Gd,Typ,Attchd,WD,290000
228,1869,AllPub,2Story,6,6,1970,TA,TA,Typ,Detchd,WD,106000
229,8521,AllPub,1Story,5,5,1967,TA,TA,Typ,Detchd,WD,125000
230,3182,AllPub,1Story,7,5,2006,Ex,Gd,Typ,Attchd,WD,192500
231,8760,AllPub,1Story,6,6,1959,TA,TA,Typ,Attchd,WD,148000
232,15138,AllPub,2Story,8,5,1996,Ex,Ex,Typ,Attchd,WD,403000
233,1680,AllPub,2Story,6,5,1972,TA,TA,Typ,Attchd,WD,94500
234,10650,AllPub,1Story,5,6,1976,TA,TA,Typ,Attchd,WD,128200
235,7851,AllPub,2Story,6,5,2002,Ex,Gd,Typ,BuiltIn,WD,216500
236,1680,AllPub,2Story,6,3,1971,TA,TA,Typ,Detchd,WD,89500
237,8773,AllPub,1Story,7,5,2004,Ex,Gd,Typ,Attchd,WD,185500
238,9453,AllPub,2Story,7,7,2003,Ex,Gd,Typ,Attchd,WD,194500
239,12030,AllPub,1Story,8,5,2007,Ex,Gd,Typ,Attchd,New,318000
240,8741,AllPub,1.5Fin,6,4,1950,TA,TA,Typ,Detchd,WD,113000
241,9000,AllPub,1Story,8,5,2008,Ex,Gd,Typ,Attchd,WD,262500
242,3880,AllPub,1Story,5,9,1997,Gd,Gd,Typ,NA,WD,110500
243,5000,AllPub,1.5Fin,5,4,1950,Gd,TA,Typ,Attchd,WD,79000
244,10762,AllPub,2Story,6,6,1980,TA,TA,Typ,Attchd,WD,120000
245,8880,AllPub,2Story,7,5,2002,Ex,Gd,Typ,Attchd,WD,205000
246,10400,AllPub,1Story,7,5,1988,Gd,TA,Typ,Attchd,WD,241500
247,9142,AllPub,2Story,6,8,1950,Gd,Fa,Typ,Detchd,WD,137000
248,11310,AllPub,1Story,6,5,1954,Ex,TA,Typ,Attchd,WD,140000
249,11317,AllPub,2Story,7,5,2003,Ex,Gd,Typ,Attchd,WD,180000
250,159000,AllPub,1.5Fin,6,7,2006,Gd,Gd,Typ,Attchd,WD,277000
251,5350,AllPub,1Story,3,2,1966,Ex,Fa,Mod,NA,WD,76500
252,4750,AllPub,1Story,8,5,2007,Ex,Gd,Typ,Attchd,WD,235000
253,8366,AllPub,2Story,6,5,2004,Ex,Gd,Typ,Attchd,WD,173000
254,9350,AllPub,SLvl,6,7,1991,Ex,Gd,Min1,Attchd,CWD,158000
255,8400,AllPub,1Story,5,6,1957,TA,TA,Typ,Attchd,WD,145000
256,8738,AllPub,2Story,7,5,1999,Ex,Gd,Typ,BuiltIn,WD,230000
257,8791,AllPub,2Story,6,5,2003,Ex,Gd,Typ,Attchd,WD,207500
258,8814,AllPub,1Story,7,5,2006,Ex,Gd,Typ,Attchd,WD,220000
259,12435,AllPub,2Story,7,5,2001,Ex,Gd,Typ,Attchd,WD,231500
260,12702,AllPub,1Story,5,5,1956,Gd,TA,Typ,Detchd,WD,97000
261,19296,AllPub,SLvl,6,5,1962,TA,TA,Typ,Attchd,WD,176000
262,9588,AllPub,2Story,8,5,2007,Ex,Ex,Typ,BuiltIn,New,276000
263,8471,AllPub,SLvl,6,7,1995,TA,TA,Typ,Attchd,WD,151000
264,5500,AllPub,1.5Fin,5,7,2001,TA,TA,Typ,Detchd,WD,130000
265,5232,AllPub,1Story,5,5,2004,Gd,TA,Typ,Detchd,WD,73000
266,12090,AllPub,1Story,6,6,1981,TA,Gd,Typ,Attchd,WD,175500
267,11207,AllPub,2Story,6,5,1997,Gd,TA,Typ,Attchd,WD,185000
268,8400,AllPub,2.5Fin,5,8,1997,Ex,Gd,Typ,Detchd,WD,179500
269,6900,AllPub,1Story,5,6,1955,Ex,TA,Typ,Detchd,WD,120500
270,7917,AllPub,1Story,6,7,1976,TA,TA,Typ,Attchd,WD,148000
271,10728,AllPub,2Story,8,5,2006,Gd,Gd,Typ,Attchd,New,266000
272,39104,AllPub,1Story,7,7,2005,Ex,TA,Mod,Attchd,WD,241500
273,11764,AllPub,2Story,8,7,2007,Ex,Gd,Typ,Attchd,WD,290000
274,9600,AllPub,1Story,6,6,1988,Gd,TA,Min1,Attchd,WD,139000
275,8314,AllPub,1Story,5,7,1982,TA,TA,Typ,Attchd,WD,124500
276,7264,AllPub,1.5Fin,7,7,2007,Gd,Ex,Typ,Detchd,WD,205000
277,9196,AllPub,1Story,7,5,2003,Ex,Gd,Typ,Attchd,WD,201000
278,19138,AllPub,1Story,4,5,1951,Ex,TA,Typ,Detchd,WD,141000
279,14450,AllPub,1Story,9,5,2007,Ex,Ex,Typ,Attchd,New,415298
280,10005,AllPub,2Story,7,5,1977,Ex,TA,Typ,Attchd,WD,192000
281,11287,AllPub,2Story,7,6,1989,Gd,Gd,Typ,Attchd,WD,228500
282,7200,AllPub,1Story,6,5,2006,Gd,Gd,Typ,Attchd,New,185000
283,5063,AllPub,1Story,7,5,2008,Ex,Gd,Typ,Attchd,ConLw,207500
284,9612,AllPub,1Story,8,5,2009,Ex,Gd,Typ,Attchd,New,244600
285,8012,AllPub,1Story,6,5,1992,Gd,Gd,Typ,Attchd,WD,179200
286,4251,AllPub,2Story,7,5,2007,Ex,Gd,Typ,Detchd,New,164700
287,9786,AllPub,1.5Fin,6,7,1981,TA,Gd,Typ,Attchd,WD,159000
288,8125,AllPub,1Story,4,4,1971,TA,TA,Typ,NA,WD,88000
289,9819,AllPub,1Story,5,5,1967,TA,TA,Typ,Detchd,WD,122000
290,8730,AllPub,2Story,6,7,2003,Ex,TA,Typ,Detchd,WD,153575
291,15611,AllPub,2Story,8,5,2006,Ex,Gd,Typ,Attchd,New,233230
292,5687,AllPub,2Story,5,6,2000,Ex,Fa,Typ,NA,WD,135900
293,11409,AllPub,1.5Fin,5,4,2008,Gd,TA,Min2,Attchd,WD,131000
