Id,LotArea,Utilities,HouseStyle,OverallQual,OverallCond,YearRemodAdd,HeatingQC,KitchenQual,Functional,GarageType,SaleType,SalePrice
294,16659,AllPub,2Story,7,7,1994,Fa,Gd,Typ,Attchd,WD,235000
295,9600,AllPub,1Story,6,5,1953,TA,TA,Typ,Attchd,WD,167000
296,7937,AllPub,SLvl,6,6,1984,TA,TA,Typ,Detchd,WD,142500
297,13710,AllPub,1.5Fin,5,5,1950,TA,TA,Typ,Attchd,WD,152000
298,7399,AllPub,2Story,7,5,1998,Ex,Gd,Typ,Detchd,WD,239000
299,11700,AllPub,2Story,6,6,1968,Gd,TA,Typ,Attchd,WD,175000
300,14000,AllPub,1Story,6,8,2004,Ex,Gd,Typ,Attchd,WD,158500
301,15750,AllPub,1Story,5,5,1953,TA,TA,Typ,Attchd,WD,157000
302,16226,AllPub,2Story,8,5,1999,Ex,Gd,Typ,BuiltIn,WD,267000
303,13704,AllPub,1Story,7,5,2002,Ex,Gd,Typ,Attchd,WD,205000
304,9800,AllPub,1Story,5,7,1972,TA,TA,Typ,Attchd,WD,149900
305,18386,AllPub,2.5Fin,7,9,2002,Ex,Gd,Typ,Attchd,WD,295000
306,10386,AllPub,1Story,8,5,2005,Ex,Gd,Typ,Attchd,WD,305900
307,13474,AllPub,2Story,7,5,1991,Gd,Gd,Typ,Attchd,WD,225000
308,7920,AllPub,1.5Fin,6,7,1950,TA,Fa,Typ,NA,WD,89500
309,12342,AllPub,1Story,4,5,1950,Ex,TA,Typ,Detchd,WD,82500
310,12378,AllPub,1Story,9,5,2004,Ex,Ex,Typ,Attchd,WD,360000
311,7685,AllPub,2Story,6,5,1994,Gd,Gd,Typ,Attchd,WD,165600
312,8000,AllPub,1Story,6,6,2002,Ex,TA,Typ,Detchd,WD,132000
313,7800,AllPub,1.5Fin,5,7,1950,TA,TA,Typ,Detchd,WD,119900
314,215245,AllPub,1Story,7,5,1965,TA,TA,Typ,Attchd,WD,375000
315,9600,AllPub,2Story,7,7,1990,Ex,Ex,Typ,Detchd,WD,178000
316,7795,AllPub,2Story,7,5,2005,Ex,Gd,Typ,Attchd,WD,188500
317,13005,AllPub,2Story,7,7,1980,TA,Ex,Typ,Attchd,WD,260000
318,9000,AllPub,2Story,8,5,2006,Ex,Gd,Typ,Attchd,WD,270000
319,9900,AllPub,2Story,7,5,1993,Ex,Gd,Typ,Attchd,WD,260000
320,14115,AllPub,SLvl,7,5,1980,TA,TA,Typ,Attchd,WD,187500
321,16259,AllPub,2Story,9,5,2006,Ex,Gd,Typ,Attchd,New,342643
322,12099,AllPub,2Story,8,5,2004,Ex,Gd,Typ,BuiltIn,WD,354000
323,10380,AllPub,2Story,7,5,1987,Ex,Gd,Typ,Attchd,WD,301000
324,5820,AllPub,1Story,3,8,2005,Ex,TA,Typ,Attchd,WD,126175
325,11275,AllPub,SLvl,7,7,2007,Ex,Gd,Typ,BuiltIn,WD,242000
326,5000,AllPub,1.5Unf,5,6,1950,Po,TA,Typ,Detchd,WD,87000
327,10846,AllPub,1Story,8,5,1993,Ex,Gd,Typ,Attchd,Con,324000
328,11600,AllPub,1Story,6,5,1960,TA,TA,Typ,Attchd,WD,145250
329,11888,AllPub,2.5Unf,6,6,1994,Gd,Gd,Typ,Detchd,WD,214500
330,6402,AllPub,2Story,5,5,1950,TA,TA,Typ,Detchd,WD,78000
331,10624,AllPub,1Story,5,4,1964,TA,TA,Typ,Detchd,WD,119000
332,8176,AllPub,1Story,5,6,1992,Fa,TA,Typ,Attchd,WD,139000
333,10655,AllPub,1Story,8,5,2004,Ex,Gd,Typ,Attchd,WD,284000
334,8198,AllPub,1Story,7,5,2004,Ex,Gd,Typ,Attchd,WD,207000
335,9042,AllPub,2Story,6,5,1998,Gd,TA,Typ,Attchd,WD,192000
336,164660,AllPub,1.5Fin,5,6,1965,Ex,TA,Typ,Attchd,WD,228950
337,14157,AllPub,1Story,9,5,2006,Ex,Gd,Typ,Attchd,WD,377426
338,9135,AllPub,1Story,7,5,2003,Ex,Gd,Typ,Attchd,WD,214000
339,14145,AllPub,1Story,7,7,1998,Ex,Gd,Typ,Attchd,WD,202500
340,12400,AllPub,1Story,6,7,1998,TA,TA,Typ,Attchd,WD,155000
341,14191,AllPub,2Story,8,5,2002,Ex,Gd,Typ,Attchd,WD,202900
342,8400,AllPub,1Story,4,4,1950,Gd,TA,Typ,CarPort,WD,82000
343,8544,AllPub,1Story,3,4,1950,Fa,TA,Typ,Detchd,WD,87500
344,8849,AllPub,1Story,9,5,2005,Ex,Ex,Typ,Attchd,WD,266000
345,2592,AllPub,2Story,5,3,1976,TA,TA,Typ,Attchd,WD,85000
346,6435,AllPub,1.5Fin,6,5,1950,Gd,Fa,Typ,Detchd,WD,140200
347,12772,AllPub,1Story,6,8,1998,TA,TA,Typ,Attchd,WD,151500
348,17600,AllPub,1Story,6,5,1960,Ex,TA,Typ,Attchd,WD,157500
349,2448,AllPub,2Story,7,5,2004,Ex,Gd,Typ,BuiltIn,WD,154000
350,20431,AllPub,2Story,9,5,2006,Ex,Ex,Typ,Attchd,New,437154
351,7820,AllPub,1Story,9,5,2007,Ex,Ex,Typ,Attchd,New,318061
352,5271,AllPub,1Story,7,5,1986,Gd,Gd,Typ,Attchd,WD,190000
353,9084,AllPub,1.5Fin,5,6,1950,TA,TA,Typ,Detchd,ConLw,95000
354,8520,AllPub,1Story,6,8,2003,Gd,TA,Typ,Detchd,WD,105900
355,8400,AllPub,1.5Fin,6,5,2000,Ex,TA,Typ,Attchd,WD,140000
356,11249,AllPub,1Story,6,5,1995,Ex,Gd,Typ,Attchd,WD,177500
357,9248,AllPub,1Story,6,6,1992,Gd,Gd,Typ,Attchd,WD,173000
358,4224,AllPub,1Story,5,5,1976,TA,TA,Typ,Attchd,WD,134000
359,6930,AllPub,SLvl,5,4,1958,Ex,Gd,Min2,BuiltIn,WD,130000
360,12011,AllPub,2Story,8,5,1998,Ex,Gd,Typ,Attchd,WD,280000
361,7540,AllPub,SFoyer,6,6,1978,Ex,TA,Typ,Attchd,WD,156000
362,9144,AllPub,1.5Fin,5,5,1982,Gd,TA,Typ,Detchd,WD,145000
363,7301,AllPub,SFoyer,7,5,2003,Ex,Gd,Typ,BuiltIn,ConLD,198500
364,1680,AllPub,2Story,6,8,2007,Gd,Gd,Typ,Detchd,WD,118000
365,18800,AllPub,2Story,6,5,1976,TA,TA,Typ,Attchd,WD,190000
366,10690,AllPub,2Story,5,7,1997,Gd,TA,Typ,Detchd,WD,147000
367,9500,AllPub,1Story,6,5,1963,Gd,TA,Typ,Attchd,WD,159000
368,9150,AllPub,SLvl,6,5,1962,Gd,TA,Typ,Basment,WD,165000
369,7800,AllPub,1Story,5,6,1954,Gd,TA,Typ,Attchd,WD,132000
370,9830,AllPub,1Story,5,7,2006,Ex,Gd,Typ,Detchd,WD,162000
371,8121,AllPub,2Story,6,5,2000,Ex,TA,Typ,Attchd,WD,172400
372,17120,AllPub,1.5Fin,4,4,1959,TA,TA,Min2,Detchd,WD,134432
373,7175,AllPub,1Story,6,5,1984,TA,TA,Typ,Attchd,WD,125000
374,10634,AllPub,1Story,5,6,1953,TA,TA,Min2,Attchd,WD,123000
375,8200,AllPub,2Story,7,5,2004,Ex,Gd,Typ,BuiltIn,WD,219500
376,10020,AllPub,1Story,1,1,1950,Gd,Fa,Maj1,NA,WD,61000
377,8846,AllPub,SFoyer,5,5,1996,Ex,TA,Typ,Detchd,WD,148000
378,11143,AllPub,2Story,8,5,2005,Ex,Gd,Typ,Attchd,WD,340000
379,11394,AllPub,1Story,9,2,2010,Ex,Ex,Typ,Attchd,New,394432
380,8123,AllPub,2Story,6,5,2000,Ex,TA,Typ,Attchd,WD,179000
381,5000,AllPub,1.5Fin,5,6,1950,TA,Gd,Typ,Detchd,WD,127000
382,7200,AllPub,1Story,7,5,2006,Ex,Gd,Typ,Attchd,New,187750
383,9245,AllPub,2Story,7,5,2006,Ex,Gd,Typ,Attchd,WD,213500
384,9000,AllPub,1.5Unf,6,3,1950,TA,TA,Typ,Detchd,WD,76000
385,53107,AllPub,2Story,6,5,1992,Ex,Gd,Typ,Attchd,WD,240000
386,3182,AllPub,1Story,8,5,2005,Ex,Gd,Typ,Attchd,WD,192000
387,8410,AllPub,1.5Fin,5,3,1996,TA,TA,Typ,NA,WD,81000
388,7200,AllPub,SLvl,6,6,1976,Ex,TA,Typ,Detchd,WD,125000
389,9382,AllPub,1Story,7,5,2000,Ex,Gd,Typ,Attchd,WD,191000
390,12474,AllPub,2Story,10,5,2008,Ex,Ex,Typ,BuiltIn,New,426000
391,8405,AllPub,1.5Fin,5,8,1950,Ex,TA,Typ,Detchd,WD,119000
392,12209,AllPub,2Story,6,5,2002,Ex,Gd,Typ,BuiltIn,WD,215000
393,8339,AllPub,1Story,5,7,1959,TA,TA,Typ,Attchd,WD,106500
394,7446,AllPub,1Story,4,5,1950,TA,TA,Typ,NA,WD,100000
395,10134,AllPub,1.5Fin,5,6,1950,Gd,TA,Typ,Detchd,WD,109000
396,9571,AllPub,1Story,5,6,1956,TA,TA,Typ,Attchd,WD,129000
397,7200,AllPub,1Story,5,5,1972,TA,TA,Typ,Detchd,WD,123000
398,7590,AllPub,2Story,5,5,1962,TA,TA,Typ,Attchd,WD,169500
399,8967,AllPub,1Story,5,2,1950,Gd,TA,Maj2,Detchd,WD,67000
400,8125,AllPub,2Story,7,5,2007,Ex,Gd,Typ,Attchd,WD,241000
401,14963,AllPub,1Story,8,5,1996,Ex,Ex,Typ,Attchd,WD,245500
402,8767,AllPub,1Story,7,5,2005,Ex,Gd,Typ,Attchd,New,164990
403,10200,AllPub,1Story,5,8,1997,Ex,TA,Typ,Detchd,WD,108000
404,12090,AllPub,2Story,8,5,1998,Gd,Gd,Typ,BuiltIn,WD,258000
405,10364,AllPub,2Story,6,5,1996,Gd,TA,Typ,BuiltIn,WD,168000
406,9991,AllPub,1Story,4,4,1993,Ex,TA,Min1,Attchd,WD,150000
407,10480,AllPub,1.5Fin,6,5,1950,Ex,TA,Maj2,Detchd,WD,115000
408,15576,AllPub,2Story,6,7,1976,Ex,TA,Typ,Attchd,WD,177000
409,14154,AllPub,2Story,7,5,2006,Ex,Gd,Typ,Attchd,New,280000
410,10800,AllPub,2Story,8,5,2008,Ex,Ex,Typ,Attchd,New,339750
411,9571,AllPub,1Story,5,3,1958,TA,TA,Mod,Attchd,COD,60000
412,34650,AllPub,1Story,5,5,1955,TA,TA,Typ,Attchd,WD,145000
413,4403,AllPub,1Story,7,5,2009,Ex,Gd,Typ,Attchd,New,222000
414,8960,AllPub,1Story,5,6,1950,Gd,TA,Typ,Detchd,WD,115000
415,11228,AllPub,2Story,7,5,1993,Ex,Gd,Typ,Attchd,WD,228000
416,8899,AllPub,1Story,7,5,2007,Ex,Gd,Typ,Attchd,New,181134
417,7844,AllPub,2Story,6,7,1978,TA,TA,Typ,Attchd,WD,149500
418,22420,AllPub,2Story,6,6,1950,TA,TA,Typ,Detchd,WD,239000
419,8160,AllPub,1.5Fin,5,6,1950,Fa,TA,Typ,Detchd,WD,126000
420,8450,AllPub,1Story,5,6,1968,Ex,TA,Typ,Attchd,WD,142000
421,7060,AllPub,SFoyer,7,5,1998,Ex,TA,Typ,Attchd,WD,206300
422,16635,AllPub,1Story,6,7,2000,Gd,Gd,Typ,Attchd,WD,215000
423,21750,AllPub,1Story,5,5,1954,Ex,TA,Typ,Attchd,WD,113000
424,9200,AllPub,2Story,8,5,1998,Gd,Gd,Typ,Attchd,WD,315000
425,9000,AllPub,1Story,6,5,1956,Gd,TA,Typ,Attchd,WD,139000
426,3378,AllPub,2Story,7,8,1992,Gd,TA,Typ,Detchd,WD,135000
427,12800,AllPub,SLvl,7,5,1989,Gd,Gd,Typ,Attchd,WD,275000
428,8593,AllPub,1Story,4,6,1957,Ex,TA,Typ,Detchd,WD,109008
429,6762,AllPub,1Story,7,5,2007,Ex,Gd,Typ,Attchd,New,195400
430,11457,AllPub,1Story,6,5,1988,TA,Gd,Typ,Attchd,WD,175000
431,1680,AllPub,2Story,6,5,1971,TA,TA,Typ,Detchd,COD,85400
432,5586,AllPub,1.5Fin,6,7,1998,Gd,TA,Typ,NA,ConLD,79900
433,1920,AllPub,2Story,5,5,1971,Ex,TA,Min1,Detchd,WD,122500
434,10839,AllPub,2Story,6,5,1998,Ex,TA,Typ,Attchd,WD,181000
435,1890,AllPub,SFoyer,4,7,1972,Gd,TA,Typ,NA,WD,81000
436,10667,AllPub,2Story,7,6,1996,Ex,Gd,Typ,Attchd,ConLw,212000
437,4400,AllPub,1.5Fin,6,8,1950,TA,TA,Typ,Detchd,WD,116000
438,6000,AllPub,1.5Unf,6,7,2004,Gd,TA,Typ,Detchd,WD,119000
439,4280,AllPub,1Story,5,6,2002,TA,Gd,Typ,Detchd,WD,90350
440,12354,AllPub,1.5Fin,6,8,2000,Gd,Gd,Typ,Detchd,ConLI,110000
441,15431,AllPub,1Story,10,5,2008,Ex,Ex,Typ,Attchd,WD,555000
442,12108,AllPub,1Story,4,4,1955,TA,Fa,Typ,NA,WD,118000
443,6240,AllPub,1.5Fin,5,7,1992,TA,TA,Typ,Detchd,WD,162900
444,3922,AllPub,1Story,7,5,2007,Ex,Gd,Typ,Attchd,New,172500
445,8750,AllPub,2Story,7,5,1995,Ex,Gd,Typ,Attchd,WD,210000
446,9855,AllPub,1Story,6,5,1956,Fa,TA,Typ,Attchd,COD,127500
447,16492,AllPub,1Story,6,6,2002,Ex,Gd,Mod,Attchd,WD,190000
448,11214,AllPub,2Story,7,5,1999,Gd,Gd,Typ,Attchd,WD,199900
449,8600,AllPub,1.5Fin,6,6,1950,TA,TA,Typ,Detchd,WD,119500
450,6000,AllPub,1.5Fin,3,7,2002,Ex,TA,Typ,Detchd,WD,120000
451,5684,AllPub,1Story,6,8,2005,Ex,Gd,Typ,Detchd,WD,110000
452,70761,AllPub,1Story,7,5,1975,TA,Gd,Typ,Attchd,WD,280000
453,9303,AllPub,2Story,6,5,1997,Ex,TA,Typ,Attchd,WD,204000
454,9000,AllPub,2Story,8,5,2008,Ex,Gd,Typ,Attchd,WD,210000
455,9297,AllPub,1Story,5,5,1976,TA,TA,Typ,Detchd,WD,188000
456,9600,AllPub,1Story,7,6,1973,Fa,TA,Typ,Attchd,WD,175500
457,4571,AllPub,2Story,5,5,1950,Fa,TA,Typ,Detchd,COD,98000
458,53227,AllPub,1Story,4,6,1994,Ex,Gd,Min1,Attchd,WD,256000
459,5100,AllPub,2Story,8,7,1996,Fa,Gd,Typ,Detchd,WD,161000
460,7015,AllPub,1.5Fin,5,4,1950,TA,Gd,Typ,Detchd,WD,110000
461,8004,AllPub,2Story,8,5,2009,Ex,TA,Typ,BuiltIn,New,263435
462,7200,AllPub,2Story,7,9,2007,Ex,Gd,Typ,Detchd,WD,155000
463,8281,AllPub,1Story,5,5,1965,Gd,TA,Typ,Detchd,WD,62383
464,11988,AllPub,2Story,6,7,1995,Fa,TA,Typ,Detchd,WD,188700
465,8430,AllPub,1Story,5,5,1978,TA,TA,Typ,NA,WD,124000
466,3072,AllPub,1Story,7,5,2004,Ex,Gd,Typ,Attchd,WD,178740
467,10628,AllPub,1Story,7,5,1970,TA,TA,Typ,Attchd,WD,167000
468,9480,AllPub,2Story,5,7,1995,Ex,Gd,Typ,Attchd,WD,146500
469,11428,AllPub,1Story,8,5,2006,Ex,Gd,Typ,Attchd,WD,250000
470,9291,AllPub,2Story,6,5,1993,Ex,Gd,Typ,Attchd,WD,187000
471,6820,AllPub,1Story,8,5,1985,TA,Gd,Typ,Attchd,WD,212000
472,11952,AllPub,2Story,7,6,1977,TA,TA,Typ,Attchd,WD,190000
473,3675,AllPub,SLvl,6,5,2005,Ex,TA,Typ,Basment,WD,148000
474,14977,AllPub,1Story,8,5,2007,Ex,Gd,Typ,Attchd,New,440000
475,5330,AllPub,1Story,8,5,2000,Ex,Ex,Typ,Attchd,WD,251000
476,8480,AllPub,1Story,5,6,1963,TA,TA,Typ,Detchd,WD,132500
477,13125,AllPub,1Story,6,5,1998,Ex,Gd,Typ,Attchd,WD,208900
478,13693,AllPub,2Story,9,5,2006,Ex,Ex,Typ,BuiltIn,WD,380000
479,10637,AllPub,1Story,8,5,2008,Ex,Gd,Typ,Attchd,WD,297000
480,5925,AllPub,1Story,4,7,2000,TA,TA,Typ,Detchd,WD,89471
481,16033,AllPub,1Story,9,5,2005,Ex,Gd,Typ,Attchd,WD,326000
482,11846,AllPub,1Story,9,5,2004,Ex,Ex,Typ,Attchd,WD,374000
483,2500,AllPub,2Story,7,8,2005,Ex,Ex,Min2,Attchd,WD,155000
484,4500,AllPub,1Story,6,5,1998,Ex,TA,Typ,Attchd,WD,164000
485,7758,AllPub,1Story,5,7,2001,Gd,Gd,Typ,Detchd,WD,132500
486,9600,AllPub,1Story,5,7,2007,Gd,Gd,Typ,Attchd,WD,147000
487,10289,AllPub,1Story,5,7,1965,TA,TA,Typ,Attchd,WD,156000
488,12243,AllPub,1Story,5,6,1971,Gd,TA,Typ,Attchd,WD,175000
489,10800,AllPub,1.5Fin,5,4,1970,TA,TA,Mod,Attchd,ConLD,160000
490,1526,AllPub,SFoyer,4,8,2002,TA,Gd,Typ,Attchd,WD,86000
491,2665,AllPub,2Story,5,6,1976,TA,TA,Typ,BuiltIn,WD,115000
492,9490,AllPub,1.5Fin,6,7,1950,TA,Fa,Typ,Attchd,WD,133000
493,15578,AllPub,2Story,6,5,2006,Gd,TA,Typ,Attchd,New,172785
494,7931,AllPub,1Story,5,6,1960,TA,TA,Typ,Detchd,WD,155000
495,5784,AllPub,1Story,5,8,1996,Gd,TA,Typ,Attchd,WD,91300
496,7879,AllPub,1Story,4,5,1950,TA,TA,Typ,NA,WD,34900
497,12692,AllPub,1Story,8,5,1993,Ex,Gd,Typ,Attchd,WD,430000
498,9120,AllPub,1.5Fin,7,6,1950,Ex,TA,Typ,Detchd,WD,184000
499,7800,AllPub,1Story,5,7,2004,Ex,Gd,Typ,Attchd,WD,130000
500,7535,AllPub,1Story,5,7,1985,Fa,TA,Typ,Attchd,WD,120000
501,1890,AllPub,2Story,6,5,1973,TA,TA,Typ,Detchd,WD,113000
502,9803,AllPub,2Story,7,5,2005,Gd,Gd,Typ,Attchd,WD,226700
503,9170,AllPub,1Story,5,7,1965,Ex,TA,Typ,Detchd,WD,140000
504,15602,AllPub,1Story,7,8,1997,TA,TA,Typ,Attchd,WD,289000
505,2308,AllPub,2Story,6,5,1974,TA,TA,Typ,Attchd,WD,147000
506,7596,AllPub,2Story,5,5,1952,Gd,TA,Typ,Detchd,COD,124500
507,9554,AllPub,2Story,8,5,1994,Ex,Gd,Typ,Attchd,WD,215000
508,7862,AllPub,1Story,6,5,2009,Ex,Gd,Typ,Attchd,New,208300
509,9600,AllPub,2Story,7,9,2005,Ex,Gd,Typ,Detchd,WD,161000
510,9600,AllPub,1Story,5,6,1959,Ex,TA,Typ,Attchd,WD,124500
511,14559,AllPub,1Story,5,7,2000,Ex,TA,Min1,CarPort,WD,164900
512,6792,AllPub,1Story,7,5,2006,Ex,Gd,Typ,Attchd,New,202665
513,9100,AllPub,1Story,5,5,1958,TA,TA,Typ,Detchd,WD,129900
514,9187,AllPub,1Story,6,5,1983,TA,TA,Typ,Attchd,WD,134000
515,10594,AllPub,1.5Unf,5,5,1950,Fa,TA,Typ,Detchd,WD,96500
516,12220,AllPub,1Story,10,5,2009,Ex,Ex,Typ,Attchd,New,402861
517,10448,AllPub,SLvl,6,6,1972,TA,TA,Typ,Attchd,COD,158000
518,10208,AllPub,2Story,7,5,1997,Ex,Gd,Typ,Attchd,WD,265000
519,9531,AllPub,2Story,6,5,1998,Ex,TA,Typ,Attchd,WD,211000
520,10918,AllPub,2Story,7,9,2004,Ex,Gd,Typ,Detchd,WD,234000
521,10800,AllPub,2Story,4,7,2000,TA,TA,Typ,NA,WD,106250
522,11988,AllPub,1Story,6,6,1957,Ex,TA,Typ,Attchd,WD,150000
523,5000,AllPub,1.5Fin,6,7,1950,Ex,TA,Typ,Detchd,WD,159000
524,40094,AllPub,2Story,10,5,2008,Ex,Ex,Typ,BuiltIn,New,184750
525,11787,AllPub,2Story,7,5,1997,Ex,Gd,Typ,Attchd,WD,315750
526,7500,AllPub,1Story,7,5,2005,Ex,Gd,Typ,Attchd,WD,176000
527,13300,AllPub,1Story,5,7,2000,TA,TA,Typ,Attchd,WD,132000
528,14948,AllPub,2Story,9,5,2008,Ex,Ex,Typ,Attchd,New,446261
529,9098,AllPub,1Story,4,7,2002,Ex,TA,Typ,NA,WD,86000
530,32668,AllPub,1Story,6,3,1975,TA,TA,Maj1,Attchd,WD,200624
531,10200,AllPub,SLvl,6,5,1989,Ex,Gd,Typ,Attchd,WD,175000
532,6155,AllPub,2Story,6,8,1999,Ex,TA,Typ,Detchd,WD,128000
533,7200,AllPub,1Story,5,7,2007,Ex,TA,Mod,Detchd,WD,107500
534,5000,AllPub,1Story,1,3,1950,Fa,Fa,Typ,NA,WD,39300
535,9056,AllPub,2Story,8,5,2004,Ex,Gd,Typ,Attchd,WD,178000
536,7000,AllPub,2Story,5,7,1991,TA,TA,Typ,NA,WD,107500
537,8924,AllPub,2Story,7,5,1999,Ex,Gd,Typ,Attchd,WD,188000
538,12735,AllPub,1Story,4,5,1972,TA,TA,Typ,Detchd,COD,111250
539,11553,AllPub,1Story,5,5,1968,TA,TA,Typ,Attchd,WD,158000
540,11423,AllPub,1Story,8,5,2002,Ex,Gd,Typ,Attchd,WD,272000
541,14601,AllPub,1Story,9,5,2006,Ex,Ex,Typ,Attchd,WD,315000
542,11000,AllPub,2Story,8,5,2000,Ex,Gd,Typ,BuiltIn,WD,248000
543,10140,AllPub,1Story,7,5,1999,Ex,Gd,Maj1,Attchd,WD,213250
544,4058,AllPub,SFoyer,7,5,1998,Ex,TA,Typ,Attchd,WD,133000
545,17104,AllPub,2Story,7,5,2006,Ex,Gd,Typ,Attchd,New,179665
546,13837,AllPub,1.5Fin,7,5,1988,Gd,Gd,Typ,Attchd,WD,229000
547,8737,AllPub,1.5Fin,6,7,1950,Ex,TA,Typ,Detchd,WD,210000
548,7244,AllPub,SFoyer,5,7,1970,Ex,TA,Typ,Detchd,WD,129500
549,8235,AllPub,1Story,5,7,1995,TA,TA,Typ,Detchd,WD,125000
550,9375,AllPub,2Story,7,5,2004,Ex,Gd,Typ,BuiltIn,WD,263000
551,4043,AllPub,1Story,6,6,1977,TA,TA,Typ,Attchd,COD,140000
552,6000,AllPub,1Story,5,6,1957,Gd,TA,Typ,Attchd,WD,112500
553,11146,AllPub,1Story,8,5,2006,Ex,Gd,Typ,Attchd,WD,255500
554,8777,AllPub,1Story,4,5,2003,Ex,Gd,Typ,Detchd,WD,108000
555,10625,AllPub,2Story,7,5,2004,Ex,Gd,Typ,BuiltIn,WD,284000
556,6380,AllPub,1.5Unf,5,6,1950,TA,TA,Typ,Detchd,WD,113000
557,14850,AllPub,1Story,5,5,1957,TA,TA,Typ,Attchd,WD,141000
558,11040,AllPub,1.5Fin,4,6,1950,Gd,TA,Typ,CarPort,COD,108000
559,21872,AllPub,2Story,7,5,1997,Ex,TA,Typ,Attchd,WD,175000
560,3196,AllPub,1Story,7,5,2004,Ex,Gd,Typ,Attchd,WD,234000
561,11341,AllPub,1Story,5,6,1996,TA,TA,Mod,Detchd,WD,121500
562,10010,AllPub,1Story,5,5,1975,Gd,TA,Typ,Attchd,WD,170000
563,13907,AllPub,1Story,5,6,1969,Ex,TA,Typ,NA,WD,108000
564,21780,AllPub,1.5Fin,6,7,1950,Ex,TA,Typ,Detchd,WD,185000
565,13346,AllPub,2Story,7,5,2000,Ex,Gd,Typ,Attchd,WD,268000
566,6858,AllPub,2Story,6,4,1950,TA,Fa,Typ,Detchd,WD,128000
567,11198,AllPub,2Story,9,5,2007,Ex,Ex,Typ,BuiltIn,WD,325000
568,10171,AllPub,1Story,7,5,2004,Ex,Gd,Typ,Attchd,WD,214000
569,12327,AllPub,1.5Fin,8,8,2009,Ex,Gd,Min2,BuiltIn,WD,316600
570,7032,AllPub,SFoyer,5,5,1979,TA,TA,Typ,Detchd,WD,135960
571,13101,AllPub,1Story,5,5,1965,TA,TA,Typ,Detchd,WD,142600
572,7332,AllPub,1Story,6,6,1959,Ex,Gd,Typ,Attchd,WD,120000
573,13159,AllPub,2Story,7,5,2009,Gd,Gd,Typ,Attchd,New,224500
574,9967,AllPub,SLvl,7,5,2000,Ex,TA,Typ,BuiltIn,WD,170000
575,10500,AllPub,SLvl,5,7,2005,TA,TA,Typ,BuiltIn,WD,139000
576,8480,AllPub,1.5Fin,5,5,1950,TA,TA,Typ,Detchd,COD,118500
577,6292,AllPub,1.5Fin,7,7,1950,Gd,TA,Typ,Detchd,WD,145000
578,11777,AllPub,SLvl,5,6,1966,Ex,TA,Typ,Attchd,WD,164500
579,3604,AllPub,2Story,7,5,2007,Ex,Gd,Typ,Detchd,WD,146000
580,12150,AllPub,1.5Fin,5,5,1954,Ex,TA,Typ,Attchd,WD,131500
581,14585,AllPub,1Story,6,6,1987,Ex,Gd,Typ,Attchd,WD,181900
582,12704,AllPub,1Story,8,5,2009,Ex,Ex,Typ,Attchd,New,253293
583,11841,AllPub,SFoyer,6,5,1990,TA,TA,Typ,NA,WD,118500
584,13500,AllPub,2.5Unf,10,9,2000,Gd,Gd,Typ,Detchd,WD,325000
585,6120,AllPub,1.5Fin,4,7,1995,Ex,Gd,Typ,Detchd,WD,133000
586,11443,AllPub,1Story,8,5,2006,Ex,Gd,Typ,Attchd,New,369900
